Point,Depth (m)
1,-263.7
2,-255.9
3,-285.7
4,-296.2
5,-269.6
6,-285.4
7,-310.3
8,-312.4
9,-323.2
10,-320.1
11,-347.4
12,-352.4
13,-349.6
14,-367.7
15,-364.7
16,-353.2
17,-371.9
18,-359.4
19,-384.4
20,-375.7
21,-376.1
22,-371.5
23,-395.3
24,-379.2
25,-375.9
26,-376.3
27,-385.9
28,-382.5
29,-381.2
30,-379.2
31,-397.2
32,-363.7
33,-359.2
34,-352.1
35,-365.5
36,-367.7
37,-348.7
38,-335.7
39,-331.5
40,-344.7
41,-341.3
42,-334.3
43,-315.3
44,-321.5
45,-315.6
46,-312.4
47,-315.8
48,-303.8
49,-305
50,-293.7
51,-292.4
52,-292.7
53,-264
54,-274.1
55,-268.9
56,-263.6
57,-264.8
58,-283.1
59,-251.9
60,-271.1
61,-236.7
62,-250.4
63,-253.9
64,-256.7
65,-256
66,-255
67,-239.3
68,-236.1
69,-250.2
70,-236
71,-221.5
72,-221.8
73,-223.2
74,-239.1
75,-233.8
76,-239.6
77,-225.5
78,-231.9
79,-237
80,-225.4
81,-234.3
82,-220.7
83,-224.1
84,-223.8
85,-213.9
86,-233.9
87,-222.2
88,-227.7
89,-232.9
90,-232
91,-233.9
92,-223.8
93,-218.7
94,-221.4
95,-200.4
96,-201.3
97,#VALUE!
98,-201.8
99,-215.7
100,-196.8
101,-199.5
102,-215.8
103,-191.9
104,-200.6
105,-176
106,-180
107,-166.1
108,-168.4
109,-177.4
110,-141.5
111,-162.3
112,-154.8
113,-139.9
114,-124.8
115,-138.4
116,-126.8
117,-131.9
118,-125.6
119,-141.1
120,-116
121,-104.1
122,-116.4
123,-115.3
124,-127.9
125,-121.1
126,-115.4
127,-129.2
128,-98.6
129,-106.9
130,-105.8
131,-115.1
132,-106.8
133,-135
134,-129.3
135,-119.5
136,-130.6
137,-152.8
138,-165.8
139,-186.8
140,-205.4
141,-183.4
142,-175
143,-170
144,-207.8
145,-204.1
146,-218.4
147,-225.7
148,-241.3
149,-265.7
150,-264.8
151,-1271.1
152,-270.5
153,-272.8
154,-296.9
155,-311.7
156,-342.9
157,-332.4
158,-351.5
159,-342.1
160,-341.9
161,-352.2
162,-362.2
163,-403
164,-373.7
165,-399
166,-383
167,-409.2
168,-406.2
169,-402.6
170,-406.3
171,-400.5
172,-414.6
173,-404.1
174,-394.5
175,-393
176,-408.9
177,-423.7
178,-404.2
179,-397.8
180,-399.3
181,-407.8
182,-390.7
183,-378.9
184,-392.6
185,-379.9
186,-388.5
187,-367.7
188,-346.2
189,-340
190,-371.9
191,-368.6
192,-342
193,-336
194,-354.9
195,-321.2
196,-321.4
197,-337.8
198,-323.8
199,-327.3
200,-324.7
201,-330.5
202,-343.6
203,-328.4
204,-336.1
205,-305.2
206,-331
207,-323.5
208,-321.4
209,-328.1
210,-337.4
211,-355.3
212,-331.4
213,-350.7
214,-347.4
215,-352.1
216,-370.7
217,-367.5
218,-379.1
219,-362.8
220,-357.3
221,-363.5
222,-369
223,-367.3
224,-350.6
225,-362.3
226,-360.6
227,-383.9
228,-371.1
229,-332.3
230,-332.2
231,-310.4
232,-312.2
233,-313.8
234,-314.5
235,-280.7
236,-270.6
237,-241.3
238,-253.6
239,-231.3
240,-226.2
241,-210.8
242,-209.3
243,-178.9
244,-172.6
245,-206.7
246,-157.3
247,-152.1
248,-180.6
249,-187.6
250,-133.7
251,-139.2
252,-144.3
253,-158.3
254,-123.7
255,-131.1
256,-142.4
257,-137.7
258,-127.8
259,-130.7
260,-115.9
261,-129.9
262,-129.9
263,-136.3
264,-127.3
265,-140
266,-147
267,-137.1
268,-139.9
269,-136.9
270,-136.8
271,-128.8
272,-142
273,-138
274,-165.3
275,-160.3
276,0
277,-135.5
278,-133.2
279,-163
280,-154.2
281,-159.4
282,-135.5
283,-170.6
284,-168.2
285,-152.7
286,-163.9
287,-176.4
288,-177.5
289,-177.1
290,-183.1
291,-185.1
292,-193.7
293,-213.1
294,-168.2
295,-199.6
296,-207.8
297,-212.3
298,-207.1
299,-193.1
300,-220.5
